"624","Flying J Travel Plaza","Dade City","FL","I-75 Exit 285 & SR52","$1.939","$2.139","$2.339","$3.099","$2.459","$2.799","12","B5"
"89","Pilot Travel Center","Ellenton","FL","I-75, Exit 224","$1.899","$2.099","$2.299","","$2.359","$2.799","4"," "
"352","Pilot Travel Center","Fort Myers","FL","I-75, Exit 139 Luckett Rd","$1.949","$2.149","$2.349","","$2.359","$2.799","7","B5"
"90","Pilot Travel Center","Fort Pierce","FL","I-95, Exit 129","$1.999","$2.199","$2.399","$2.899","$2.459","$2.799","11","B20"
"622","Flying J Travel Plaza","Fort Pierce","FL","I-95 Hwy 68 Exit 131","$1.999","$2.199","$2.399","$2.899","$2.459","$2.799","12","B20"
"471","Pilot Travel Center","Haines City","FL","US Hwy 27 North","$1.939","$2.139","$2.339","$2.999","$2.499","$2.799","7","B5"
"91","Pilot Travel Center","Jacksonville","FL","I-95, Exit 329","$1.959","$2.159","$2.359","","$2.459","$2.799","10","B10"
"500","Pilot Travel Center","Jasper","FL","I-75, Exit 460","$1.899","$2.099","$2.299","","$2.269","$2.799","10","B5"
"374","Pilot Travel Center","Marianna","FL","I-10/FL 71, Exit 142","$1.899","$2.099","$2.299","","$2.359","$2.799","7","B10"
"873","Pilot Travel Center","Medley","FL","Hwy 27 N","","","","","$2.599","","",""
"874","Pilot Travel Center","Miami","FL","US 41 & SR 997","","","","","$2.599","","",""
"897","Pilot Travel Center","Miami Gardens","FL","SR 826, Exit SR 817","","","","","$2.599","","",""
"425","Pilot Travel Center","Midway","FL","I-10, Exit 192","$1.939","$2.139","$2.339","","$2.359","$2.799","7","B10"
"424","Pilot Travel Center","Ocala","FL","I-75, Exit 358","$1.999","$2.199","$2.399","","$2.459","$2.799","9","B5"
"92","Pilot Travel Center","Ocala","FL","I-75, Exit 358","$1.999","$2.199","$2.399","","$2.459","$2.799","10","B5"
"293","Pilot Travel Center","Ocala","FL","I-75 & FL 484, Exit 341","$1.999","$2.199","$2.399","","$2.459","$2.799","7","B5"
